team_name,team_abbr,score,game_won,game_lost,first_downs,fourth_down_attempts,fourth_down_conversions,fumbles,fumbles_lost,interceptions,net_pass_yards,pass_attempts,pass_completions,pass_touchdowns,pass_yards,penalties,points,rush_attempts,rush_touchdowns,rush_yards,third_down_attempts,third_down_conversions,time_of_possession,times_sacked,total_yards,turnovers,yards_from_penalties,yards_lost_from_sacks,week
New Orleans Saints,nor,22,0,1,18,3,0,0,0,1,304,40,27,3,319,3,30,16,0,35,11,5,1542,2,339,1,20,15,16
Los Angeles Rams,ram,30,1,0,23,1,1,0,0,0,325,34,24,2,328,3,22,32,1,133,12,4,2058,1,458,0,25,3,16
Cincinnati Bengals,cin,11,0,1,17,2,0,1,0,3,309,42,28,1,335,3,34,16,0,59,13,6,1909,3,368,3,20,26,16
Pittsburgh Steelers,pit,34,1,0,16,0,0,1,0,0,284,27,17,2,290,2,11,30,2,113,14,7,1691,1,397,0,15,6,16
Buffalo Bills,buf,24,1,0,16,0,0,3,2,1,230,21,15,1,237,7,22,30,2,105,10,5,1616,1,335,3,64,7,16
Los Angeles Chargers,sdg,22,0,1,18,0,0,0,0,0,175,33,23,0,215,6,24,27,1,98,14,4,1984,5,273,0,29,40,16
Indianapolis Colts,clt,10,0,1,20,3,1,1,0,1,170,37,20,0,201,4,29,25,1,92,14,5,1836,6,262,1,29,31,16
Atlanta Falcons,atl,29,1,0,23,1,1,1,0,0,229,33,23,1,229,4,10,30,1,177,13,5,1764,1,406,0,35,0,16
Green Bay Packers,gnb,33,1,0,25,0,0,1,0,0,207,28,17,2,219,6,30,34,2,162,14,8,1719,1,369,0,67,12,16
Carolina Panthers,car,30,0,1,26,2,1,2,0,0,298,36,23,2,312,8,33,25,2,96,13,6,1881,2,394,0,87,14,16
Cleveland Browns,cle,36,1,0,26,6,4,0,0,2,364,44,28,3,374,9,22,30,2,54,16,6,2014,1,418,2,55,10,16
Houston Texans,htx,22,0,1,20,3,1,1,0,2,178,49,26,2,211,10,36,16,0,72,15,5,1586,3,250,2,76,33,16
Detroit Lions,det,30,1,0,28,2,2,2,1,0,246,40,30,1,257,9,24,36,3,143,12,6,2302,1,389,1,52,11,16
Minnesota Vikings,min,24,0,1,19,1,0,2,0,4,373,36,22,2,411,8,30,11,1,17,9,3,1298,4,390,4,64,38,16
Washington Commanders,was,28,0,1,18,1,1,1,1,2,143,35,16,1,156,8,30,22,3,102,12,3,1424,1,245,3,68,13,16
New York Jets,nyj,30,1,0,26,2,1,1,1,1,217,49,27,1,217,14,28,36,2,164,16,4,2176,0,381,2,150,0,16
Seattle Seahawks,sea,20,1,0,21,0,0,1,0,0,215,36,25,2,227,6,17,20,0,58,13,7,1569,3,273,0,47,12,16
Tennessee Titans,oti,17,0,1,23,1,1,1,0,0,125,27,19,1,164,10,20,31,1,162,12,6,2031,6,287,0,97,39,16
Jacksonville Jaguars,jax,12,0,1,23,3,1,3,2,2,268,44,28,2,305,2,30,13,0,37,9,3,1373,4,305,4,20,37,16
Tampa Bay Buccaneers,tam,30,1,0,22,2,1,0,0,0,265,35,26,2,283,6,12,36,1,70,19,10,2227,2,335,0,44,18,16
Arizona Cardinals,crd,16,0,1,16,1,0,1,0,0,213,38,24,2,230,2,27,20,0,93,16,7,1528,2,306,0,8,17,16
Chicago Bears,chi,27,1,0,22,0,0,0,0,1,170,27,15,1,170,5,16,39,2,250,15,8,2072,1,420,1,35,0,16
Dallas Cowboys,dal,20,0,1,19,2,2,1,1,0,242,32,20,2,253,6,22,25,0,97,12,4,1862,4,339,1,38,11,16
Miami Dolphins,mia,22,1,0,22,1,0,1,0,0,284,37,24,1,293,5,20,26,0,91,13,6,1738,1,375,0,33,9,16
New England Patriots,nwe,26,1,0,12,0,0,2,1,0,230,33,25,2,256,3,23,21,0,59,13,3,1722,2,289,1,25,26,16
Denver Broncos,den,23,0,1,19,2,1,4,2,0,193,37,25,2,238,2,26,23,1,83,13,4,1878,5,276,2,25,45,16
Las Vegas Raiders,rai,20,1,0,12,0,0,1,0,0,48,21,9,0,62,4,14,29,0,157,12,3,1542,2,205,0,20,14,16
Kansas City Chiefs,kan,14,0,1,19,5,3,2,1,1,223,45,28,1,246,5,20,25,1,85,16,5,2058,4,308,2,44,23,16
New York Giants,nyg,25,0,1,14,5,3,1,0,1,186,32,16,1,188,3,33,26,1,106,14,4,1522,1,292,1,13,2,16
Philadelphia Eagles,phi,33,1,0,28,2,2,4,1,1,295,38,24,1,301,9,25,35,2,170,15,8,2078,1,465,2,65,6,16
Baltimore Ravens,rav,33,1,0,23,1,1,0,0,0,241,35,23,2,252,6,19,26,1,102,11,4,1874,2,343,0,67,11,16
San Francisco 49ers,sfo,19,0,1,21,3,1,0,0,5,308,46,26,1,336,10,33,18,1,121,14,6,1726,4,429,5,102,28,16
